arm,compute_ms_per_step,cvar20_risk,cvar20_violation,effective_soft_rate,episode_id,event_type,false_pre_activation_rate,final_distance_m,gate_diagnostic_rate,hard_contacts,hard_hazard_length_m,mean_lam_hard_used,mean_lam_soft_learned,mean_lam_soft_used,mean_risk,out_of_bounds_or_nonfinite,path_length_m,post_open_activation_delay,post_open_activation_rate,regime,risk_exposure,scene_id,sequence,steps,success
gate_on,8.314051678358478,0.8908999805925628,2.3629801654601548,0.23214285714285715,0,delayed_required_escape,0.0,2.514268159866333,0.23214285714285715,10,5.358644872903824,0.043329290546742935,0.07272950213934694,0.018506752060992376,0.5710401304737251,0,34.35184697061777,6.0,0.6190476190476191,R1,19.616283176115008,00000_000531,00000,56,1.0
gate_off,8.498387803618764,0.8909005344927581,2.362977274551556,1.0,0,delayed_required_escape,1.0,2.5142860412597656,0.23214285714285715,10,5.358636409044266,0.043329284992069006,0.07272949083042997,0.07272949083042997,0.5710401710049144,0,34.35188810527325,0.0,1.0,R1,19.61630805797692,00000_000531,00000,56,1.0
gate_on,8.170561474783472,0.6459536337663645,1.9600181268606136,0.0,1,delayed_required_escape,0.0,2.5946552753448486,0.0,7,4.756281495094299,0.037523858470179264,0.06669215870610738,0.0,0.4730053295134083,0,35.940141439437866,103.0,0.0,R1,16.99987844431981,00000_000531,00000,59,1.0
gate_off,8.214860728851093,0.6459533071630268,1.9600150978131405,1.0,1,delayed_required_escape,1.0,2.5945723056793213,0.0,7,4.7562819719314575,0.03752386146935366,0.06669214967701395,0.06669214967701395,0.4730051052908494,0,35.94021910429001,0.0,1.0,R1,16.999907121600888,00000_000531,00000,59,1.0
gate_on,8.17244850913994,0.9499998868548164,2.2891397638925843,0.10909090909090909,2,delayed_required_escape,0.2,2.5011255741119385,0.10909090909090909,9,4.490967035293579,0.039457633651115674,0.0683442354879596,0.005398849872025577,0.5855311744622997,0,31.259893909096718,5.0,0.2,R3,18.303642394160295,00000_000531,00000,55,1.0
gate_off,8.027042926881801,0.9499998868634661,2.2891327257970726,1.0,2,delayed_required_escape,1.0,2.5010650157928467,0.10909090909090909,9,4.490958958864212,0.039457630467685786,0.06834422471848402,0.06834422471848402,0.5855310629741036,0,31.2600354924798,0.0,1.0,R3,18.303721810519903,00000_000531,00000,55,1.0
gate_on,8.13799265642956,0.9264623059018361,1.3941213816136981,0.109375,3,delayed_required_escape,0.0,2.7984061241149902,0.109375,3,1.954156219959259,0.039327620121184736,0.06770320690702647,0.007727805816102773,0.5660041847735645,0,39.482353173196316,3.0,0.28,R3,22.34717712073694,00000_000531,00000,64,1.0
gate_off,8.194903624826111,0.9264617914021163,1.3941205359188267,1.0,3,delayed_required_escape,1.0,2.7984161376953125,0.109375,3,1.9541540741920471,0.039327620703261346,0.06770321464864537,0.06770321464864537,0.5660039192753447,0,39.48235484212637,0.0,1.0,R3,22.347167582863406,00000_000531,00000,64,1.0
gate_on,7.8357359272724185,0.9499932039672364,1.5975663233089985,0.32727272727272727,4,delayed_required_escape,0.0,2.482466220855713,0.32727272727272727,3,2.041104257106781,0.0565441809933294,0.08416068702936172,0.024071994762529025,0.6050460956677284,0,31.519286334514618,4.0,0.5263157894736842,R3,19.070621134931255,00000_000531,00000,55,1.0
gate_off,7.874814690810374,0.9499932042373007,1.5975672177209201,1.0,4,delayed_required_escape,1.0,2.4824812412261963,0.32727272727272727,3,2.041106164455414,0.056544184718619696,0.08416069326075641,0.08416069326075641,0.6050461530353604,0,31.51927226781845,0.0,1.0,R3,19.070614432117672,00000_000531,00000,55,1.0
gate_on,8.125255430618731,0.757857466152971,1.7022059071716609,0.24615384615384617,5,delayed_required_escape,0.1,2.536807060241699,0.24615384615384617,6,4.058098614215851,0.0509655875655321,0.08006312658007328,0.02010678775035418,0.5251962889767156,0,42.97247115522623,4.0,0.125,R1,22.56898237888377,00000_000531,00000,65,1.0
