crosses_phase_boundary,end_phase,end_step,episode_id,isolated_one_step,length_steps,regime,run_index,start_phase,start_step
0,post_opening,53,0,0,13,R1,0,post_opening,41
0,blocked_pre_opening,34,2,0,2,R3,0,blocked_pre_opening,33
0,post_opening,42,2,0,3,R3,1,post_opening,40
0,post_opening,45,2,1,1,R3,2,post_opening,45
0,post_opening,43,3,0,2,R3,0,post_opening,42
0,post_opening,55,3,0,5,R3,1,post_opening,51
0,pre_event,23,4,0,8,R3,0,pre_event,16
0,post_opening,49,4,0,10,R3,1,post_opening,40
0,pre_event,12,5,0,7,R1,0,pre_event,6
0,pre_event,21,5,0,3,R1,1,pre_event,19
0,pre_event,26,5,0,2,R1,2,pre_event,25
0,blocked_pre_opening,36,5,1,1,R1,3,blocked_pre_opening,36
0,post_opening,45,5,1,1,R1,4,post_opening,45
0,post_opening,49,5,0,2,R1,5,post_opening,48
0,pre_event,8,6,0,9,R1,0,pre_event,0
0,pre_event,18,6,1,1,R1,1,pre_event,18
0,post_opening,43,6,1,1,R1,2,post_opening,43
0,post_opening,47,6,0,3,R1,3,post_opening,45
0,pre_event,18,7,0,5,R1,0,pre_event,14
0,pre_event,20,7,1,1,R1,1,pre_event,20
0,blocked_pre_opening,24,7,1,1,R1,2,blocked_pre_opening,24
0,post_opening,41,7,0,4,R1,3,post_opening,38
0,blocked_pre_opening,33,8,0,3,R2,0,blocked_pre_opening,31
0,post_opening,47,8,0,9,R2,1,post_opening,39
0,post_opening,37,9,1,1,R2,0,post_opening,37
0,pre_event,0,10,1,1,R1,0,pre_event,0
0,post_opening,41,10,0,2,R1,1,post_opening,40
0,post_opening,53,10,1,1,R1,2,post_opening,53
1,blocked_pre_opening,31,11,0,3,R1,0,pre_event,29
0,post_opening,45,11,0,3,R1,1,post_opening,43
0,post_opening,60,11,0,11,R1,2,post_opening,50
0,pre_event,0,12,1,1,R2,0,pre_event,0
0,post_opening,43,12,0,3,R2,1,post_opening,41
0,post_opening,50,12,0,3,R2,2,post_opening,48
0,post_opening,46,13,0,5,R1,0,post_opening,42
0,post_opening,56,13,0,3,R1,1,post_opening,54
0,pre_event,24,15,1,1,R2,0,pre_event,24
0,post_opening,32,17,1,1,R2,0,post_opening,32
0,post_opening,57,22,0,5,R3,0,post_opening,53
0,post_opening,52,23,0,6,R1,0,post_opening,47
0,blocked_pre_opening,33,24,0,6,R1,0,blocked_pre_opening,28
0,blocked_pre_opening,36,24,0,2,R1,1,blocked_pre_opening,35
0,post_opening,51,24,0,12,R1,2,post_opening,40
0,blocked_pre_opening,34,25,0,5,R3,0,blocked_pre_opening,30
0,post_opening,46,25,0,8,R3,1,post_opening,39
0,post_opening,42,26,0,7,R1,0,post_opening,36
0,pre_event,8,27,0,4,R1,0,pre_event,5
