ci_high,ci_low,k,mean_paired_difference,metric,n,reference_k
-0.04255172479527705,-0.0718532238897145,4,-0.05656071906601153,activation_rate,100,16
-0.08,-0.21,4,-0.14,false_preactivation_episode,100,16
0.48,0.3,4,0.39,post_opening_no_activation_episode,100,16
0.0,0.0,4,0.0,success,100,16
1.1613514440617081e-07,-1.0542340552133211e-07,4,3.483328177011913e-09,cvar20_violation,100,16
0.0,0.0,4,0.0,hard_contacts,100,16
0.1581697188885251,-0.21918685175756464,4,-0.036495252151852745,compute_ms_per_step,100,16
-0.010486166870505714,-0.01947357498646921,8,-0.014653407380945244,activation_rate,100,16
0.0,-0.05,8,-0.02,false_preactivation_episode,100,16
0.17,0.05,8,0.11,post_opening_no_activation_episode,100,16
0.0,0.0,8,0.0,success,100,16
6.396992366936024e-08,-4.301971389236714e-08,8,9.797415496670681e-09,cvar20_violation,100,16
0.0,0.0,8,0.0,hard_contacts,100,16
-0.3231732384303681,-0.37766101030382787,8,-0.3505035605188124,compute_ms_per_step,100,16
0.017739950382935687,0.0094337016908331,32,0.013299168734598316,activation_rate,100,16
0.07,0.0,32,0.03,false_preactivation_episode,100,16
0.0,-0.05,32,-0.02,post_opening_no_activation_episode,100,16
0.0,0.0,32,0.0,success,100,16
2.2184839016059498e-08,-3.773383556554543e-08,32,-7.794580323405853e-09,cvar20_violation,100,16
0.0,0.0,32,0.0,hard_contacts,100,16
0.7079920799066226,0.5981049765613083,32,0.6530751680067327,compute_ms_per_step,100,16
