mode,scope,method_a,method_b,metric,higher_is_better,n_clusters,n_paired_observations,method_a_mean,method_b_mean,difference_a_minus_b,ci95_low,ci95_high,bootstrap_probability_a_better
dynamic,aggregate,route_aware_stage2,dwa_semantic,success,True,100,800,0.9375,0.56625,0.37124999999999997,0.2825,0.46374999999999994,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,stuck,False,100,800,0.11125,0.51,-0.39875,-0.49,-0.30500000000000005,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,800,0.7167829154641633,0.6192949278003236,0.0974879876638397,0.07509305755275311,0.1207464053055372,0.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,800,0.7159436585640985,0.615728460149241,0.10021519841485749,0.0782143237580226,0.12291620815849737,0.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_contact,False,100,800,0.06375,0.0475,0.01625,0.0025000000000000022,0.03,0.0073
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,800,0.10303250000000003,0.0749075,0.028125000000000025,-0.004446359375000011,0.05647187499999999,0.043
dynamic,aggregate,route_aware_stage2,dwa_semantic,stale_exposure,False,100,800,1.6851588494703396,1.0078704824701434,0.6772883670001961,0.1806351003396252,1.1759031510392022,0.0045
dynamic,aggregate,route_aware_stage2,dwa_semantic,reaction_delay,False,100,800,6.9025,2.88,4.0225,1.65,6.711281249999999,0.0002
dynamic,aggregate,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,800,1.0376933569913842,1.4133269161427398,-0.37563355915135554,-0.44709009237742964,-0.30856069079292403,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,compute_ms,False,100,800,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,success,True,100,100,0.79,0.54,0.25,0.14,0.36000000000000004,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.21,0.54,-0.33000000000000007,-0.44999999999999996,-0.21999999999999997,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.5882493896812612,0.5506700597629162,0.037579329918345006,0.004153138842399981,0.08352765161134382,0.0107
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.588145023387894,0.551367274246923,0.03677774914097098,0.0035851740852973855,0.08329307896628237,0.0128
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.08,0.07,0.009999999999999995,-0.05,0.07,0.3
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.082426,0.09071,-0.008284,-0.074150875,0.054141999999999996,0.5987
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,stale_exposure,False,100,100,1.3516783361087439,1.0484346118511407,0.30324372425760315,-0.2238987853199574,0.8491267488839752,0.1304
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,reaction_delay,False,100,100,7.18,3.36,3.82,0.96,7.160249999999997,0.0021
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,100,1.1424872005583153,1.4312196526687522,-0.28873245211043685,-0.38612553889775747,-0.1866623371644339,1.0
dynamic,event:corridor_closes,route_aware_stage2,dwa_semantic,compute_ms,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,success,True,100,100,0.97,0.59,0.38,0.28,0.48,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.18,0.49,-0.31,-0.42000000000000004,-0.19999999999999998,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.5611592716293515,0.5386085349491652,0.022550736680186367,0.0076489734595927075,0.038665339032596224,0.0013
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.5612000102498927,0.5392224307978082,0.02197757945208456,0.0068132556589477035,0.03806753080084596,0.0011
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,stale_exposure,False,100,100,1.0847833775880635,0.7141989070705472,0.3705844705175163,-0.1273628199995331,0.8790259631918804,0.075
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,reaction_delay,False,100,100,5.12,2.29,2.83,0.4900000000000002,5.61,0.0071
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,path_length_ratio,False,100,100,1.0354767847004562,1.3829336344049188,-0.34745684970446256,-0.4203594768968688,-0.27474162870496177,1.0
dynamic,event:corridor_opens,route_aware_stage2,dwa_semantic,compute_ms,False,100,100,0.0,0.0,0.0,0.0,0.0,0.0
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,success,True,100,100,1.0,0.6,0.4,0.31000000000000005,0.5,1.0
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.0,0.46,-0.46,-0.56,-0.36,1.0
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,event_window_cvar_violation,False,100,100,0.5609645343718519,0.5592251670268489,0.0017393673450030178,-0.029745829906747085,0.025246158037985068,0.4147
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.5609645343718519,0.5597495560902307,0.001214978281621204,-0.029832796525210353,0.024731969628480132,0.4194
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.0,0.02,-0.02,-0.05,0.0,0.8619
dynamic,event:crossing_obstacle,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.0,0.061568000000000005,-0.061568000000000005,-0.170562,0.0,0.8658
