mode,scope,method_a,method_b,metric,higher_is_better,n_clusters,n_paired_observations,method_a_mean,method_b_mean,difference_a_minus_b,ci95_low,ci95_high,bootstrap_probability_a_better
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,false_pre_activation,False,100,100,0.38,0.37,0.010000000000000009,-0.040000000000000036,0.06,0.2829
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,suppression,True,100,100,0.62,0.63,-0.010000000000000009,-0.06000000000000005,0.040000000000000036,0.281
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,success,True,100,100,0.61,0.62,-0.010000000000000009,-0.050000000000000044,0.030000000000000027,0.2493
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,stuck,False,100,100,0.48,0.46,0.019999999999999962,-0.019999999999999962,0.06,0.0916
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,post_event_cvar_violation,False,100,100,0.8400858992965251,0.854749622594058,-0.014663723297532849,-0.03423393169219931,0.003723305168618277,0.9426
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,hard_contact,False,100,100,0.08,0.06,0.020000000000000004,0.0,0.05,0.0
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,hard_hazard_length_m,False,100,100,0.059497,0.040355,0.019142,0.0,0.04414200000000001,0.0
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,stale_exposure,False,100,100,0.7825709263028204,0.8475578646269142,-0.06498693832409375,-0.16335446289741903,0.021432103355802496,0.9227
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,reaction_delay,False,100,100,2.85,3.11,-0.2599999999999998,-0.6100000000000003,0.04999999999999982,0.9421
dynamic,aggregate,route_aware_stage2,stage2_expected_cost,route_deviation_delay,False,100,100,13.04,13.68,-0.6400000000000006,-2.869999999999999,1.3100000000000005,0.7291
dynamic,aggregate,route_aware_stage2,dwa_semantic,false_pre_activation,False,100,100,0.38,0.95,-0.57,-0.6699999999999999,-0.47,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,suppression,True,100,100,0.62,0.05,0.57,0.47000000000000003,0.6699999999999999,1.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,success,True,100,100,0.61,0.48,0.13,0.030000000000000027,0.22999999999999998,0.9944
dynamic,aggregate,route_aware_stage2,dwa_semantic,stuck,False,100,100,0.48,0.59,-0.10999999999999999,-0.21000000000000002,-0.010000000000000009,0.9835
dynamic,aggregate,route_aware_stage2,dwa_semantic,post_event_cvar_violation,False,100,100,0.8400858992965251,0.6949817109703764,0.1451041883261487,0.08544968785422569,0.20180452377209918,0.0
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_contact,False,100,100,0.08,0.04,0.04,-0.010000000000000002,0.09999999999999999,0.046
dynamic,aggregate,route_aware_stage2,dwa_semantic,hard_hazard_length_m,False,100,100,0.059497,0.061568,-0.0020709999999999965,-0.08778987499999999,0.06570999999999999,0.4778
dynamic,aggregate,route_aware_stage2,dwa_semantic,stale_exposure,False,100,100,0.7825709263028204,0.6880714929381161,0.09449943336470434,-0.21357136426848322,0.39727267735184973,0.2681
dynamic,aggregate,route_aware_stage2,dwa_semantic,reaction_delay,False,100,100,2.85,2.26,0.5900000000000003,-0.31000000000000005,1.48,0.0996
dynamic,aggregate,route_aware_stage2,dwa_semantic,route_deviation_delay,False,100,100,13.04,1.96,11.079999999999998,7.510000000000001,15.120000000000001,0.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,false_pre_activation,False,100,100,0.38,0.99,-0.61,-0.7,-0.51,1.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,suppression,True,100,100,0.62,0.01,0.61,0.51,0.7,1.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,success,True,100,100,0.61,0.03,0.58,0.48000000000000004,0.67,1.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,stuck,False,100,100,0.48,0.98,-0.5,-0.6,-0.4,1.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,post_event_cvar_violation,False,100,100,0.8400858992965251,0.46332693945965714,0.37675895983686797,0.3337554500664106,0.4207692967044414,0.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,hard_contact,False,100,100,0.08,0.0,0.08,0.03,0.14,0.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,hard_hazard_length_m,False,100,100,0.059497,0.0,0.059497,0.021212999999999996,0.10485199999999999,0.0
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,stale_exposure,False,100,100,0.7825709263028204,0.40942914726406326,0.37314177903875717,0.1456529774307065,0.6248058024653059,0.0003
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,reaction_delay,False,100,100,2.85,1.71,1.1400000000000001,0.41999999999999993,1.91,0.0007
dynamic,aggregate,route_aware_stage2,fixed_coeff_stage2,route_deviation_delay,False,100,100,13.04,0.28,12.76,9.200000000000001,16.78,0.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,false_pre_activation,False,100,100,0.38,0.92,-0.54,-0.6399999999999999,-0.44,1.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,suppression,True,100,100,0.62,0.08,0.54,0.44000000000000006,0.6399999999999999,1.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,success,True,100,100,0.61,0.2,0.41,0.29999999999999993,0.52,1.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,stuck,False,100,100,0.48,0.81,-0.33000000000000007,-0.44,-0.21999999999999997,1.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,post_event_cvar_violation,False,100,100,0.8400858992965251,0.5026240793782177,0.33746181991830737,0.2975425789202445,0.3780017303873594,0.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,hard_contact,False,100,100,0.08,0.0,0.08,0.03,0.14,0.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,hard_hazard_length_m,False,100,100,0.059497,0.0,0.059497,0.021212999999999996,0.10606499999999999,0.0
dynamic,aggregate,route_aware_stage2,blackbox_cvar,stale_exposure,False,100,100,0.7825709263028204,0.5947396353104637,0.18783129099235674,-0.0697040516031224,0.47228125047474756,0.0787
dynamic,aggregate,route_aware_stage2,blackbox_cvar,reaction_delay,False,100,100,2.85,2.27,0.5800000000000001,-0.2400000000000002,1.4302499999999965,0.0821
dynamic,aggregate,route_aware_stage2,blackbox_cvar,route_deviation_delay,False,100,100,13.04,1.19,11.85,8.4,15.95,0.0
