mode,scope,method_a,method_b,metric,higher_is_better,n_clusters,n_paired_observations,method_a_mean,method_b_mean,difference_a_minus_b,ci95_low,ci95_high,bootstrap_probability_a_better
static,static,stage2_directional_head,s2_model_lambda,correct_activation,True,113,189,0.8835978835978836,0.36507936507936506,0.5185185185185186,0.42857142857142855,0.6067996239968573,1.0
static,static,stage2_directional_head,s2_model_lambda,false_activation,False,600,8766,0.12856490987907826,0.7518822724161534,-0.6233173625370751,-0.643074781144406,-0.6031312488911741,1.0
static,static,stage2_directional_head,s2_model_lambda,selectivity_ratio,True,600,9347,1.2922135244362993,1.1996758190085979,0.09253770542770146,-0.1577207481006382,0.36395755478312325,0.7607
static,static,stage2_directional_head,s2_model_lambda,force_perp_norm,,900,13553,0.08581330424416882,0.015889883922491296,0.06992342032167752,0.06425626661000701,0.07581917341011418,
static,static,stage2_directional_head,s2_model_lambda,force_norm,,900,13553,0.15981700798070694,0.020340290462123226,0.1394767175185837,0.13048610653893153,0.1485418003559444,
static,static,stage2_directional_head,s2_model_lambda,dot_safe,,900,13553,0.07257643249442479,0.01264368451786929,0.0599327479765555,0.05320699751527956,0.0667192416790434,
static,static,stage2_directional_head,s2_model_lambda,force_risk_alignment,,900,13553,0.03696858151306756,0.8930826290302283,-0.8561140475171607,-0.8670726840415631,-0.8450852074217196,
static,static,stage2_directional_head,analytic_fixed_lambda,correct_activation,True,113,189,0.8835978835978836,0.5661375661375662,0.31746031746031744,0.2340394425780764,0.4010423629679145,1.0
static,static,stage2_directional_head,analytic_fixed_lambda,false_activation,False,600,8766,0.12856490987907826,0.8877481177275839,-0.7591832078485057,-0.7768186765424393,-0.741446280641064,1.0
static,static,stage2_directional_head,analytic_fixed_lambda,selectivity_ratio,True,600,9347,1.2922135244362993,1.1230462470636944,0.16916727737260495,-0.060013873616291374,0.4201472202190697,0.9212
static,static,stage2_directional_head,analytic_fixed_lambda,force_perp_norm,,900,13553,0.08581330424416882,1.2910616145707645,-1.2052483103265956,-1.240405853872465,-1.170449227362724,
static,static,stage2_directional_head,analytic_fixed_lambda,force_norm,,900,13553,0.15981700798070694,1.5429426865561577,-1.3831256785754509,-1.4222403412457303,-1.3437708760884637,
static,static,stage2_directional_head,analytic_fixed_lambda,dot_safe,,900,13553,0.07257643249442479,1.1043650823538467,-1.031788649859422,-1.0664236282825033,-0.9975149511448641,
static,static,stage2_directional_head,analytic_fixed_lambda,force_risk_alignment,,900,13553,0.03696858151306756,0.7149024151301103,-0.6779338336170427,-0.6895256338857512,-0.6662382694626635,
static,static,s2_model_lambda,analytic_fixed_lambda,correct_activation,True,113,189,0.36507936507936506,0.5661375661375662,-0.2010582010582011,-0.2677620023419204,-0.13903743315508027,0.0
static,static,s2_model_lambda,analytic_fixed_lambda,false_activation,False,600,8766,0.7518822724161534,0.8877481177275839,-0.13586584531143053,-0.1440922439553746,-0.12770855283783178,1.0
static,static,s2_model_lambda,analytic_fixed_lambda,selectivity_ratio,True,600,9347,1.1996758190085979,1.1230462470636944,0.0766295719449035,0.03326394128193584,0.12231062895704468,0.9998
static,static,s2_model_lambda,analytic_fixed_lambda,force_perp_norm,,900,13553,0.015889883922491296,1.2910616145707645,-1.2751717306482733,-1.3076584946280478,-1.2429033532537317,
static,static,s2_model_lambda,analytic_fixed_lambda,force_norm,,900,13553,0.020340290462123226,1.5429426865561577,-1.5226023960940345,-1.557005936433775,-1.488239229895129,
static,static,s2_model_lambda,analytic_fixed_lambda,dot_safe,,900,13553,0.01264368451786929,1.1043650823538467,-1.0917213978359774,-1.1231024817033994,-1.060580248353541,
static,static,s2_model_lambda,analytic_fixed_lambda,force_risk_alignment,,900,13553,0.8930826290302283,0.7149024151301103,0.17818021390011796,0.16846306411906034,0.18838804747194612,
