scene_id,sequence,corruption_probability,scene_seed,observed_cells,changed_cells,changed_fraction
00000_000055,00000,0.0,13739327199748454190,2079,0,0.0
00000_000055,00000,0.1,13739327199748454190,2079,208,0.10004810004810005
00000_000055,00000,0.2,13739327199748454190,2079,416,0.2000962000962001
00000_000055,00000,0.3,13739327199748454190,2079,624,0.30014430014430016
00000_000130,00000,0.0,12907008107672877028,2481,0,0.0
00000_000130,00000,0.1,12907008107672877028,2481,248,0.09995969367190649
00000_000130,00000,0.2,12907008107672877028,2481,496,0.19991938734381298
00000_000130,00000,0.3,12907008107672877028,2481,744,0.2998790810157195
00000_000132,00000,0.0,3322128778744199969,2466,0,0.0
00000_000132,00000,0.1,3322128778744199969,2466,247,0.10016220600162205
00000_000132,00000,0.2,3322128778744199969,2466,493,0.19991889699918897
00000_000132,00000,0.3,3322128778744199969,2466,740,0.30008110300081103
00000_000188,00000,0.0,2294830058370373982,2502,0,0.0
00000_000188,00000,0.1,2294830058370373982,2502,250,0.09992006394884093
00000_000188,00000,0.2,2294830058370373982,2502,500,0.19984012789768185
00000_000188,00000,0.3,2294830058370373982,2502,751,0.30015987210231815
00000_000224,00000,0.0,2350086638901670979,2192,0,0.0
00000_000224,00000,0.1,2350086638901670979,2192,219,0.09990875912408759
00000_000224,00000,0.2,2350086638901670979,2192,438,0.19981751824817517
00000_000224,00000,0.3,2350086638901670979,2192,658,0.3001824817518248
00000_000238,00000,0.0,15048720242085999115,2221,0,0.0
00000_000238,00000,0.1,15048720242085999115,2221,222,0.09995497523638001
00000_000238,00000,0.2,15048720242085999115,2221,444,0.19990995047276003
00000_000238,00000,0.3,15048720242085999115,2221,666,0.29986492570914003
00000_000300,00000,0.0,16164535265192814509,2145,0,0.0
00000_000300,00000,0.1,16164535265192814509,2145,214,0.09976689976689977
00000_000300,00000,0.2,16164535265192814509,2145,429,0.2
00000_000300,00000,0.3,16164535265192814509,2145,644,0.30023310023310024
00000_000326,00000,0.0,10716845275015483038,1925,0,0.0
00000_000326,00000,0.1,10716845275015483038,1925,192,0.09974025974025974
00000_000326,00000,0.2,10716845275015483038,1925,385,0.2
00000_000326,00000,0.3,10716845275015483038,1925,578,0.3002597402597403
00000_000331,00000,0.0,3385654675778056862,1883,0,0.0
00000_000331,00000,0.1,3385654675778056862,1883,188,0.09984067976633032
00000_000331,00000,0.2,3385654675778056862,1883,377,0.20021242697822622
00000_000331,00000,0.3,3385654675778056862,1883,565,0.30005310674455654
00000_000398,00000,0.0,5222231043688303581,1810,0,0.0
00000_000398,00000,0.1,5222231043688303581,1810,181,0.1
00000_000398,00000,0.2,5222231043688303581,1810,362,0.2
00000_000398,00000,0.3,5222231043688303581,1810,543,0.3
00000_000421,00000,0.0,4228290420929966711,1819,0,0.0
00000_000421,00000,0.1,4228290420929966711,1819,182,0.1000549752611325
00000_000421,00000,0.2,4228290420929966711,1819,364,0.200109950522265
00000_000421,00000,0.3,4228290420929966711,1819,546,0.3001649257833975
00000_000461,00000,0.0,11113666702536245032,2274,0,0.0
00000_000461,00000,0.1,11113666702536245032,2274,227,0.0998240985048373
00000_000461,00000,0.2,11113666702536245032,2274,455,0.20008795074758134
00000_000461,00000,0.3,11113666702536245032,2274,682,0.29991204925241866
00000_000509,00000,0.0,4952569268824810715,2376,0,0.0
00000_000509,00000,0.1,4952569268824810715,2376,238,0.10016835016835017
00000_000509,00000,0.2,4952569268824810715,2376,475,0.1999158249158249
00000_000509,00000,0.3,4952569268824810715,2376,713,0.30008417508417506
00000_000531,00000,0.0,2581698158024087520,2551,0,0.0
00000_000531,00000,0.1,2581698158024087520,2551,255,0.0999607996863975
00000_000531,00000,0.2,2581698158024087520,2551,510,0.199921599372795
00000_000531,00000,0.3,2581698158024087520,2551,765,0.29988239905919245
00000_000622,00000,0.0,7967651246235720213,2611,0,0.0
00000_000622,00000,0.1,7967651246235720213,2611,261,0.09996170049789353
00000_000622,00000,0.2,7967651246235720213,2611,522,0.19992340099578707
00000_000622,00000,0.3,7967651246235720213,2611,783,0.2998851014936806
00000_000642,00000,0.0,2229124948818634002,2788,0,0.0
00000_000642,00000,0.1,2229124948818634002,2788,279,0.10007173601147776
00000_000642,00000,0.2,2229124948818634002,2788,558,0.20014347202295552
00000_000642,00000,0.3,2229124948818634002,2788,836,0.2998565279770445
00000_000679,00000,0.0,8681277675717562960,2637,0,0.0
00000_000679,00000,0.1,8681277675717562960,2637,264,0.10011376564277588
00000_000679,00000,0.2,8681277675717562960,2637,527,0.19984831247629883
00000_000679,00000,0.3,8681277675717562960,2637,791,0.2999620781190747
00000_000763,00000,0.0,893294007406821643,3010,0,0.0
00000_000763,00000,0.1,893294007406821643,3010,301,0.1
00000_000763,00000,0.2,893294007406821643,3010,602,0.2
00000_000763,00000,0.3,893294007406821643,3010,903,0.3
00000_000797,00000,0.0,3366932142478396735,3241,0,0.0
00000_000797,00000,0.1,3366932142478396735,3241,324,0.09996914532551682
00000_000797,00000,0.2,3366932142478396735,3241,648,0.19993829065103363
00000_000797,00000,0.3,3366932142478396735,3241,972,0.29990743597655045
00000_000814,00000,0.0,7797573209983594113,3419,0,0.0
00000_000814,00000,0.1,7797573209983594113,3419,342,0.1000292483182217
00000_000814,00000,0.2,7797573209983594113,3419,684,0.2000584966364434
00000_000814,00000,0.3,7797573209983594113,3419,1026,0.3000877449546651
00000_000882,00000,0.0,11956106544048818429,3019,0,0.0
00000_000882,00000,0.1,11956106544048818429,3019,302,0.10003312355084465
00000_000882,00000,0.2,11956106544048818429,3019,604,0.2000662471016893
00000_000882,00000,0.3,11956106544048818429,3019,906,0.30009937065253395
00000_000926,00000,0.0,11420849025565842111,2567,0,0.0
00000_000926,00000,0.1,11420849025565842111,2567,257,0.10011686793922867
00000_000926,00000,0.2,11420849025565842111,2567,513,0.19984417608102845
00000_000926,00000,0.3,11420849025565842111,2567,770,0.2999610440202571
00000_000931,00000,0.0,16320902034165751983,2483,0,0.0
00000_000931,00000,0.1,16320902034165751983,2483,248,0.09987917841320983
00000_000931,00000,0.2,16320902034165751983,2483,497,0.20016109544905356
00000_000931,00000,0.3,16320902034165751983,2483,745,0.3000402738622634
00000_000983,00000,0.0,8453051190627140942,2179,0,0.0
00000_000983,00000,0.1,8453051190627140942,2179,218,0.10004589261128959
00000_000983,00000,0.2,8453051190627140942,2179,436,0.20009178522257917
00000_000983,00000,0.3,8453051190627140942,2179,654,0.30013767783386874
00000_001032,00000,0.0,12016891695543664183,2223,0,0.0
00000_001032,00000,0.1,12016891695543664183,2223,222,0.09986504723346828
00000_001032,00000,0.2,12016891695543664183,2223,445,0.2001799370220423
00000_001032,00000,0.3,12016891695543664183,2223,667,0.30004498425551057
00000_001047,00000,0.0,11362254923166078798,2142,0,0.0
00000_001047,00000,0.1,11362254923166078798,2142,214,0.09990662931839403
00000_001047,00000,0.2,11362254923166078798,2142,428,0.19981325863678806
00000_001047,00000,0.3,11362254923166078798,2142,643,0.30018674136321194
00000_001099,00000,0.0,15210407230876498830,2554,0,0.0
00000_001099,00000,0.1,15210407230876498830,2554,255,0.09984338292873923
00000_001099,00000,0.2,15210407230876498830,2554,511,0.20007830853563038
00000_001099,00000,0.3,15210407230876498830,2554,766,0.2999216914643696
00000_001149,00000,0.0,12669579634601423586,2753,0,0.0
00000_001149,00000,0.1,12669579634601423586,2753,275,0.09989102796948783
00000_001149,00000,0.2,12669579634601423586,2753,551,0.2001452960406829
00000_001149,00000,0.3,12669579634601423586,2753,826,0.3000363240101707
00000_001214,00000,0.0,3302921195422076993,2286,0,0.0
00000_001214,00000,0.1,3302921195422076993,2286,229,0.10017497812773403
00000_001214,00000,0.2,3302921195422076993,2286,457,0.199912510936133
00000_001214,00000,0.3,3302921195422076993,2286,686,0.300087489063867
00000_001230,00000,0.0,6785567807847330027,2256,0,0.0
00000_001230,00000,0.1,6785567807847330027,2256,226,0.10017730496453901
00000_001230,00000,0.2,6785567807847330027,2256,451,0.1999113475177305
00000_001230,00000,0.3,6785567807847330027,2256,677,0.3000886524822695
00000_001305,00000,0.0,5392101773791847905,2484,0,0.0
00000_001305,00000,0.1,5392101773791847905,2484,248,0.0998389694041868
00000_001305,00000,0.2,5392101773791847905,2484,497,0.2000805152979066
00000_001305,00000,0.3,5392101773791847905,2484,745,0.2999194847020934
00000_001310,00000,0.0,12200898925969954219,2530,0,0.0
00000_001310,00000,0.1,12200898925969954219,2530,253,0.1
00000_001310,00000,0.2,12200898925969954219,2530,506,0.2
00000_001310,00000,0.3,12200898925969954219,2530,759,0.3
00000_001448,00000,0.0,16229206136155346107,2221,0,0.0
00000_001448,00000,0.1,16229206136155346107,2221,222,0.09995497523638001
00000_001448,00000,0.2,16229206136155346107,2221,444,0.19990995047276003
00000_001448,00000,0.3,16229206136155346107,2221,666,0.29986492570914003
00000_001492,00000,0.0,4668531108625373719,2405,0,0.0
00000_001492,00000,0.1,4668531108625373719,2405,240,0.0997920997920998
00000_001492,00000,0.2,4668531108625373719,2405,481,0.2
00000_001492,00000,0.3,4668531108625373719,2405,722,0.3002079002079002
00000_001507,00000,0.0,4641565411599939688,2503,0,0.0
