label_id,class_name,observed_cell_count,empirical_probability
0,void,3489,0.004958459225235416
3,grass,254502,0.3616903954545325
4,tree,144172,0.2048928012096992
5,pole,24,3.410806001881628e-05
6,water,24,3.410806001881628e-05
8,vehicle,565,0.0008029605796096332
9,object,40,5.684676669802713e-05
15,log,552,0.0007844853804327744
17,person,2987,0.004245032303175176
18,fence,1174,0.0016684526025870963
19,bush,239330,0.34012841684597084
23,concrete,47575,0.06761212314146602
27,barrier,1354,0.0019242630527282186
31,puddle,1092,0.0015519167308561408
33,mud,3784,0.005377704129633367
34,rubble,2982,0.004237926457337923
