corruption_probability,reference_probability,metric,paired_delta,ci_low,ci_high,bootstrap_unit,bootstrap_reps
0.0,0.0,CAR,0.0,0.0,0.0,paired_episode,2000
0.0,0.0,FAR,0.0,0.0,0.0,paired_episode,2000
0.0,0.0,SR,0.0,0.0,0.0,paired_episode,2000
0.0,0.0,activation_rate,0.0,0.0,0.0,paired_episode,2000
0.0,0.0,noop_rate,0.0,0.0,0.0,paired_episode,2000
0.1,0.0,CAR,-0.24469457146207063,-0.2605396124108498,-0.2281874161367371,paired_episode,2000
0.1,0.0,FAR,-0.04657288410327662,-0.05258309543048218,-0.04097846812613683,paired_episode,2000
0.1,0.0,SR,-0.1902953077267513,-0.2755673046795291,-0.10592965863465566,paired_episode,2000
0.1,0.0,activation_rate,-0.07744708613973483,-0.0833370993311661,-0.07175902600242097,paired_episode,2000
0.1,0.0,noop_rate,0.07744708613973483,0.07175902600242089,0.08333709933116615,paired_episode,2000
0.2,0.0,CAR,-0.33626450932113966,-0.3553734381414705,-0.31676216226388487,paired_episode,2000
0.2,0.0,FAR,-0.07239203427115898,-0.07949115201278933,-0.06568915230520365,paired_episode,2000
0.2,0.0,SR,-0.2599267051187004,-0.3626588610851581,-0.15795248748014729,paired_episode,2000
0.2,0.0,activation_rate,-0.11189146662061292,-0.11875517972622038,-0.10511571868067353,paired_episode,2000
0.2,0.0,noop_rate,0.11189146662061289,0.1051157186806736,0.1187551797262204,paired_episode,2000
0.3,0.0,CAR,-0.3860945011138469,-0.40414916702493214,-0.3664210077205304,paired_episode,2000
0.3,0.0,FAR,-0.08333333333333334,-0.09059074873977951,-0.07603988601168664,paired_episode,2000
0.3,0.0,SR,-0.3146310399944814,-0.42911143847102434,-0.2014606804130466,paired_episode,2000
0.3,0.0,activation_rate,-0.12831731045996203,-0.13548939186342993,-0.12110359239421516,paired_episode,2000
0.3,0.0,noop_rate,0.1283173104599621,0.1211035923942151,0.13548939186342984,paired_episode,2000
