sequence,corruption_probability,CAR,FAR,SR,activation_rate,noop_rate,R1_activation_rate,R2_activation_rate,R3_activation_rate,n_samples,n_CAR_eligible,n_FAR_eligible
00000,0.0,0.6619318181818182,0.16714539734646422,1.5358013196543052,0.19954669084315504,0.800453309156845,0.2632428072062382,0.17140420693575895,0.1631953598734511,11030.0,1056.0,7311.0
00000,0.1,0.48011363636363635,0.14649158801805498,1.3154104116038496,0.16391659111514054,0.8360834088848594,0.19817155149233665,0.15065378055713474,0.14263116266807277,11030.0,1056.0,7311.0
00000,0.2,0.4602272727272727,0.13609629325673642,1.3126017454888057,0.15512239347234813,0.8448776065276519,0.19252487227749396,0.14667424673109722,0.12628526232533616,11030.0,1056.0,7311.0
00000,0.3,0.39867424242424243,0.13212966762412803,1.2496641630800986,0.14614687216681777,0.8538531278331822,0.17370260822801828,0.13899943149516772,0.12575797521750592,11030.0,1056.0,7311.0
00001,0.0,0.7637795275590551,0.2413742475407429,1.9368812354681098,0.3243821755205293,0.6756178244794707,0.4874531295067782,0.25166908563134976,0.23083778966131907,10278.0,1905.0,6811.0
00001,0.1,0.5181102362204725,0.17647922478343855,1.8177378969357472,0.22854640980735552,0.7714535901926445,0.330833573694837,0.18200290275761974,0.17082590612002377,10278.0,1905.0,6811.0
00001,0.2,0.4246719160104987,0.14329760681250917,1.8271665439189473,0.18709865732632808,0.812901342673672,0.2731468128064609,0.14949201741654572,0.13695781342840166,10278.0,1905.0,6811.0
00001,0.3,0.3711286089238845,0.13463514902363824,1.6703148529253027,0.16919634170071998,0.83080365829928,0.23709258725122584,0.14194484760522497,0.12715389185977422,10278.0,1905.0,6811.0
00002,0.0,0.75,0.27395032525133056,1.813592040589821,0.35321774904496034,0.6467822509550396,0.5088534107402032,0.2805776598880047,0.2672797389498665,10209.0,2024.0,6764.0
00002,0.1,0.5029644268774703,0.19529863985807214,1.9348737888832228,0.24331472230384954,0.7566852776961505,0.33759071117561684,0.17447686413203656,0.21625630376742808,10209.0,2024.0,6764.0
00002,0.2,0.39476284584980237,0.1612950916617386,1.8320055904961565,0.19541580957978255,0.8045841904202174,0.2624092888243832,0.14323607427055704,0.17947196677543756,10209.0,2024.0,6764.0
00002,0.3,0.37450592885375494,0.14311058545239502,2.1803255077056027,0.18003722205896758,0.8199627779410325,0.2525399129172714,0.11582670203359859,0.1705725304064076,10209.0,2024.0,6764.0
00003,0.0,0.7248908296943232,0.19649948521841448,2.0201027998121925,0.2788245631162745,0.7211754368837255,0.4413472706155633,0.21847762928529924,0.17396484956806674,10243.0,1832.0,6799.0
00003,0.1,0.4328602620087336,0.14516840711869392,1.6662947564819373,0.1873474567997657,0.8126525432002343,0.2706155632984901,0.16240557815223708,0.12749478701221328,10243.0,1832.0,6799.0
00003,0.2,0.3171397379912664,0.11737020150022062,1.450428404102443,0.14478180220638484,0.8552181977936152,0.1988966318234611,0.13712957582800697,0.09711051534107834,10243.0,1832.0,6799.0
00003,0.3,0.287117903930131,0.1089866156787763,1.3982906517085674,0.13326173972469002,0.86673826027531,0.18118466898954705,0.12957582800697268,0.08787607983318439,10243.0,1832.0,6799.0
00004,0.0,0.7330607476635514,0.21054932245373742,1.9849962318430303,0.28484497247174734,0.7151550275282527,0.430945558739255,0.21710144927536232,0.20392616466451802,10353.0,1712.0,6863.0
00004,0.1,0.5040887850467289,0.19087862450823256,1.613940705221917,0.22698734666280304,0.7730126533371969,0.2979942693409742,0.18463768115942028,0.19718722531497215,10353.0,1712.0,6863.0
00004,0.2,0.4158878504672897,0.16596240711059304,1.6084697197804865,0.19347049164493382,0.8065295083550662,0.2475644699140401,0.15391304347826087,0.17814239671842955,10353.0,1712.0,6863.0
00004,0.3,0.3212616822429907,0.1499344310068483,1.366568811855081,0.16468656428088477,0.8353134357191152,0.19369627507163323,0.14173913043478262,0.1582185760328157,10353.0,1712.0,6863.0
