scene_id,sequence,corruption_probability,scene_seed,observed_cells,changed_cells,changed_fraction
00000_000531,00000,0.0,2581698158024087520,2551,0,0.0
00000_000531,00000,0.1,2581698158024087520,2551,255,0.0999607996863975
00000_000531,00000,0.2,2581698158024087520,2551,510,0.199921599372795
00000_000531,00000,0.3,2581698158024087520,2551,765,0.29988239905919245
00000_001492,00000,0.0,4668531108625373719,2405,0,0.0
00000_001492,00000,0.1,4668531108625373719,2405,240,0.0997920997920998
00000_001492,00000,0.2,4668531108625373719,2405,481,0.2
00000_001492,00000,0.3,4668531108625373719,2405,722,0.3002079002079002
00001_000012,00001,0.0,5819398165900518859,1870,0,0.0
00001_000012,00001,0.1,5819398165900518859,1870,187,0.1
00001_000012,00001,0.2,5819398165900518859,1870,374,0.2
00001_000012,00001,0.3,5819398165900518859,1870,561,0.3
00001_001806,00001,0.0,8340242276604254776,2356,0,0.0
00001_001806,00001,0.1,8340242276604254776,2356,236,0.100169779286927
00001_001806,00001,0.2,8340242276604254776,2356,471,0.1999151103565365
00001_001806,00001,0.3,8340242276604254776,2356,707,0.30008488964346347
00001_002198,00001,0.0,9946965537010756813,1851,0,0.0
00001_002198,00001,0.1,9946965537010756813,1851,185,0.09994597514856834
00001_002198,00001,0.2,9946965537010756813,1851,370,0.1998919502971367
00001_002198,00001,0.3,9946965537010756813,1851,555,0.29983792544570503
00002_000596,00002,0.0,3743358088947343788,2771,0,0.0
00002_000596,00002,0.1,3743358088947343788,2771,277,0.09996391194514616
00002_000596,00002,0.2,3743358088947343788,2771,554,0.19992782389029232
00002_000596,00002,0.3,3743358088947343788,2771,831,0.2998917358354385
00002_001217,00002,0.0,7416811095365932951,2740,0,0.0
00002_001217,00002,0.1,7416811095365932951,2740,274,0.1
00002_001217,00002,0.2,7416811095365932951,2740,548,0.2
00002_001217,00002,0.3,7416811095365932951,2740,822,0.3
00002_003163,00002,0.0,17898784679005602270,2030,0,0.0
00002_003163,00002,0.1,17898784679005602270,2030,203,0.1
00002_003163,00002,0.2,17898784679005602270,2030,406,0.2
00002_003163,00002,0.3,17898784679005602270,2030,609,0.3
00003_001631,00003,0.0,18314224016850075053,3125,0,0.0
00003_001631,00003,0.1,18314224016850075053,3125,312,0.09984
00003_001631,00003,0.2,18314224016850075053,3125,625,0.2
00003_001631,00003,0.3,18314224016850075053,3125,938,0.30016
00004_000512,00004,0.0,15996686291886470740,2178,0,0.0
00004_000512,00004,0.1,15996686291886470740,2178,218,0.10009182736455463
00004_000512,00004,0.2,15996686291886470740,2178,436,0.20018365472910926
00004_000512,00004,0.3,15996686291886470740,2178,653,0.29981634527089074
00004_000732,00004,0.0,11624081515027887088,2284,0,0.0
00004_000732,00004,0.1,11624081515027887088,2284,228,0.09982486865148861
00004_000732,00004,0.2,11624081515027887088,2284,457,0.2000875656742557
00004_000732,00004,0.3,11624081515027887088,2284,685,0.2999124343257443
