label_id,class_name,observed_cell_count,empirical_probability
0,void,125,0.0047781048125071675
3,grass,9985,0.3816750124230725
4,tree,3610,0.13799166698520698
5,pole,3,0.00011467451550017202
8,vehicle,60,0.00229349031000344
9,object,6,0.00022934903100034403
15,log,19,0.0007262719315010894
17,person,102,0.0038989335270058485
18,fence,110,0.004204732235006307
19,bush,8532,0.3261343220824892
23,concrete,3203,0.12243415771568365
27,barrier,38,0.0014525438630021788
31,puddle,41,0.0015672183785023508
33,mud,114,0.004357631589006536
34,rubble,213,0.008141890600512213
