corruption_probability,reference_probability,metric,paired_delta,ci_low,ci_high,bootstrap_unit,bootstrap_reps
0.0,0.0,CAR,0.0,0.0,0.0,paired_episode,200
0.0,0.0,FAR,0.0,0.0,0.0,paired_episode,200
0.0,0.0,SR,0.0,0.0,0.0,paired_episode,200
0.0,0.0,activation_rate,0.0,0.0,0.0,paired_episode,200
0.0,0.0,noop_rate,0.0,0.0,0.0,paired_episode,200
0.1,0.0,CAR,-0.22000000000000003,-0.3684697855750488,-0.1799871794871795,paired_episode,200
0.1,0.0,FAR,-0.013100436681222717,-0.05228348458770145,0.03371207637984774,paired_episode,200
0.1,0.0,SR,-0.9952380952380953,-192336.2923076882,19213879.629584335,paired_episode,200
0.1,0.0,activation_rate,-0.043988269794721424,-0.07951997719993487,0.0028021151642475214,paired_episode,200
0.1,0.0,noop_rate,0.04398826979472137,-0.0028021151642475066,0.0795199771999349,paired_episode,200
0.2,0.0,CAR,-0.24000000000000002,-0.428968253968254,-0.14575892857142855,paired_episode,200
0.2,0.0,FAR,-0.03056768558951966,-0.051637602088633015,-0.008381247235736395,paired_episode,200
0.2,0.0,SR,0.20357142857142874,-236687.93664904422,23449560.92211207,paired_episode,200
0.2,0.0,activation_rate,-0.06451612903225808,-0.11155026355421686,-0.030540169660678636,paired_episode,200
0.2,0.0,noop_rate,0.06451612903225801,0.030540169660678646,0.11155026355421695,paired_episode,200
0.3,0.0,CAR,-0.22000000000000003,-0.5536306042884991,-0.11103603603603601,paired_episode,200
0.3,0.0,FAR,-0.02183406113537119,-0.05531190047665197,0.012339130033673155,paired_episode,200
0.3,0.0,SR,-1.3668367346938775,-547368.0463379238,5.150308441558446,paired_episode,200
0.3,0.0,activation_rate,-0.07038123167155426,-0.1437688288020233,-0.017438090610548893,paired_episode,200
0.3,0.0,noop_rate,0.07038123167155419,0.017438090610548813,0.1437688288020232,paired_episode,200
