arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,raw_soft_force_norm,raw_soft_force_perp_norm,regime,soft_force_norm,soft_force_perp_norm
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.004282647743821144,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,0.008616113103926182,0.008546177297830582,R1,0.0,0.0
fixed,0,RELLIS-3D,0.04470076039433479,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,0.08993193507194519,0.08920197188854218,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,1,0.1075347438454628,0.13398362696170807,0.0,6,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,-0.0015090148663148284,00003_001631_00,0,1,0.1075347438454628,0.13398362696170807,0.13398362696170807,6,0.0019111240981146693,0.0016609259182587266,R1,0.0019111240981146693,0.0016609259182587266
fixed,0,RELLIS-3D,-0.01689402014017105,00003_001631_00,0,1,0.1075347438454628,0.13398362696170807,1.5,6,0.021395795047283173,0.01859472692012787,R1,0.021395795047283173,0.01859472692012787
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,0.0,0.0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,0.0413457453250885,0.0321618989109993,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,0.4877539873123169,0.37941253185272217,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,1,0.09089550375938416,0.12052671611309052,0.0,18,0.0,0.0,R1,0.0,0.0
learned,1,RELLIS-3D,0.03810597211122513,00003_001631_00,0,1,0.09089550375938416,0.12052671611309052,0.12052671611309052,18,0.03844785690307617,0.033247560262680054,R1,0.03844785690307617,0.033247560262680054
