comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_zero,DFC2018,7.222891600794368e-09,-7.524615364129517e-08,1.3228559945233087e-06,0.0,0000
learned_minus_fixed,DFC2018,4.631168702001753e-09,-4.374019524355788e-08,8.792571728477583e-07,0.0,0000
learned_minus_zero,DFC2018,0.0005838189154212942,-1.6272356517799125e-08,0.16049447010066586,0.0,0007
learned_minus_fixed,DFC2018,-0.00018679147587616352,-1.7697310683573164e-07,-0.0513604708064328,0.0,0007
learned_minus_zero,DFC2018,-0.0014704907152315524,6.966729293123031e-06,-0.26025403858709417,0.0,0016
learned_minus_fixed,DFC2018,-4.259010600096702e-07,-9.050861104475949e-06,-0.00016077645706324972,0.0,0016
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001631_00
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001631_00
learned_minus_zero,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001631_01
learned_minus_fixed,RELLIS-3D,0.0,0.0,0.0,0.0,00003_001631_01
learned_minus_zero,RELLIS-3D,3.876654227630283e-07,-4.173396052076228e-07,7.154795884645182e-06,0.0,00003_001631_04
learned_minus_fixed,RELLIS-3D,-3.6221957314674924e-06,3.965072707279305e-06,-6.555916610295753e-05,0.0,00003_001631_04
