arm,backtracking_ratio,barrier_violation_m,catastrophic_failure,curvature_energy,dataset,episode_id,excess_length_m,failure_score,hard_hazard_length_m,hard_hits,low_margin_length_m,max_risk,max_violation_severity_m,mean_rho,mean_safety_margin_m,min_hard_distance_m,oscillation,path_cvar_risk,path_length_m,path_length_ratio,regime,revisit_count,risk_exposure,soft_risk_violation_length_m,success
zero,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
learned,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
fixed,0.0,0.0,0.0,0.34418540723870356,RELLIS-3D,00003_001631_00,-3.503541853232967,15.430451305887896,0.0,0.0,0.0,0.550000011920929,0.0,0.4541940791964346,4.6622965387513675,1.4142135381698608,1.0835226045595743,0.550000011920929,32.78045814676702,0.9034411351220105,R1,0.0,14.88869000360811,32.78045814676702,1.0
zero,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
learned,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
fixed,0.0,0.0,0.0,0.36421199368179574,RELLIS-3D,00003_001631_01,-3.8211646395408962,19.673735578969808,0.0,0.0,2.7630106545201096,0.5689160227775574,0.0,0.4548791041572207,6.9726847592624654,0.5,1.0664511473750078,0.5624209556915406,42.07823536045906,0.9167491374714942,R1,0.0,19.140510005282305,42.07823536045906,1.0
zero,0.0,0.0,0.0,0.49849118207517407,RELLIS-3D,00003_001631_04,-3.6623826933765002,18.72495087086625,0.0,0.0,0.0,0.550000011920929,0.0,0.454546609631136,9.097867082795837,2.5495097637176514,1.4032489527862615,0.550000011920929,39.651217306623465,0.9154449712474487,R1,0.0,18.02332639447312,39.651217306623465,1.0
learned,0.0,0.0,0.0,0.4984805062583774,RELLIS-3D,00003_001631_04,-3.6624007698572285,18.72493894193088,0.0,0.0,0.0,0.550000011920929,0.0,0.4545469972965588,9.097866880050105,2.5495097637176514,1.4032107853237528,0.550000011920929,39.65119923014274,0.9154445539078435,R1,0.0,18.023333549269005,39.65119923014274,1.0
fixed,0.0,0.0,0.0,0.4983779099184285,RELLIS-3D,00003_001631_04,-3.66257251143044,18.724826399050087,0.0,0.0,0.0,0.550000011920929,0.0,0.45455061949229025,9.097861622948226,2.5495097637176514,1.4028545812299593,0.5500000119209291,39.651027488569525,0.9154405888351362,R1,0.0,18.023399108435108,39.651027488569525,1.0
zero,0.0,0.0,0.0,0.35888974982748917,DFC2018,0000,-11.575427751432585,8.098432690258193,0.0,0.0,0.0,0.25,0.0,0.025867152428785522,36.9861915861191,13.086252212524414,3.005772752535202,0.226030965676573,254.9776722485667,0.9565736517360608,soft-dominant-test,0.0,6.595546313990591,0.0,1.0
learned,0.0,0.0,0.0,0.35889767861486516,DFC2018,0000,-11.57544780852811,8.098764400553812,0.0,0.0,0.0,0.25,0.0,0.025867159651677123,36.98619037190967,13.086252212524414,3.0064335274144502,0.22603082938280833,254.97765219147118,0.9565735764899072,soft-dominant-test,0.0,6.595547636846586,0.0,1.0
fixed,0.0,0.0,0.0,0.3588982957297403,DFC2018,0000,-11.575436149443476,8.098628856553574,0.0,0.0,0.0,0.25,0.0,0.02586715502050842,36.98618964115369,13.086252212524414,3.0061641979283227,0.2260309149081611,254.9776638505558,0.9565736202301024,soft-dominant-test,0.0,6.595546757589413,0.0,1.0
zero,0.0,8.239576682503648,1.0,0.8076114733956912,DFC2018,0007,-583.4012356412529,3178.001521625302,16.479153365007296,20.0,25.026704338893566,0.7690701484680176,0.5,0.06733623162626899,12.270342850073808,0.0,6.273882782302362,0.525351073525734,274.90616435874585,0.32028870350965893,soft-dominant-test,1.0,18.511145158749684,23.416131040776026,1.0
learned,0.0,8.699500960496463,1.0,0.8075368739766919,DFC2018,0007,-583.401249607937,3328.7549596405843,17.399001920992927,21.0,25.024140594154805,0.7690701484680176,0.5,0.06792005054169029,12.268670957932196,0.0,6.2764287142459025,0.5312063262761622,274.9061503920618,0.3202886872373024,soft-dominant-test,1.0,18.67163962885035,23.41312964311845,1.0
fixed,0.0,8.698451249470068,1.0,0.8076495668735569,DFC2018,0007,-583.4010977106097,3328.69262349929,17.396902498940136,21.0,25.020719846723537,0.7690701484680176,0.5,0.06810684201756645,12.268796307241537,0.0,6.279971915852017,0.5323696584864871,274.90630228938903,0.32028886421040925,soft-dominant-test,1.0,18.723000099656783,23.40973413039712,1.0
zero,0.0,0.0,0.0,0.9632367270217846,DFC2018,0016,-12.979625872248562,12.374095245117651,0.0,0.0,2.9384619479941327,0.323424756526947,0.0,0.05111641754623632,9.448114209301256,0.5,6.649996125076298,0.252961599075903,177.02917412775116,0.9316893434817304,soft-dominant-test,0.0,9.049097182579503,1.1482694236872035,1.0
learned,0.0,0.0,0.0,0.9628204606344689,DFC2018,0016,-12.97830213237566,12.11617470674389,0.0,0.0,2.937910489316405,0.323424756526947,0.0,0.049645926831004765,9.408534562565164,0.5,6.65466312550296,0.25014389323376385,177.03049786762406,0.9316963102110235,soft-dominant-test,0.0,8.788843143992409,1.147966309411683,1.0
