arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.12216410040855408,0.1494802087545395,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.12216410040855408,0.1494802087545395,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.12216410040855408,0.1494802087545395,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10697728395462036,0.13847295939922333,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10697728395462036,0.13847295939922333,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.10697728395462036,0.13847295939922333,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.09739203751087189,0.12905995547771454,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.08515508472919464,0.11742591857910156,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07807650417089462,0.10967227816581726,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.07135370373725891,0.10367303341627121,0.0,60,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.042492352426052094,0.07525038719177246,0.0,72,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_01,0,0,0.051824431866407394,0.07949177175760269,0.0,84,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,1,0.10637319833040237,0.13872011005878448,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0030926596373319626,00003_001631_02,0,1,0.10637319833040237,0.13872011005878448,0.13872011005878448,0,R3,0.02173708565533161,0.02106166072189808
