arm,correct_activation,dataset,dot_safe,episode_id,false_activation,gate_active,lambda_hard_learned,lambda_soft_learned,lambda_soft_used,path_index,regime,soft_force_norm,soft_force_perp_norm
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10990135371685028,0.14371056854724884,0.0,0,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.10053151845932007,0.12715142965316772,0.0,12,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.07540722191333771,0.10755136609077454,0.0,24,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0695621520280838,0.10107894241809845,0.0,36,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_00,0,0,0.0760682001709938,0.11077593266963959,0.0,48,R1,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.10637319833040237,0.13872011005878448,0.0,0,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.10637319833040237,0.13872011005878448,0.0,0,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.10637319833040237,0.13872011005878448,0.0,0,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.1031283438205719,0.13199451565742493,0.0,12,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.08205129206180573,0.11435579508543015,0.0,24,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.06899912655353546,0.10482555627822876,0.0,36,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05044949799776077,0.08042044937610626,0.0,48,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.0437731109559536,0.07571975141763687,0.0,60,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,R3,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,R3,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_02,0,0,0.05493537336587906,0.09617011994123459,0.0,72,R3,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,R2,0.0,0.0
fixed,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.11633580923080444,0.15107768774032593,0.0,0,R2,0.0,0.0
zero,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10484296828508377,0.1406000852584839,0.0,12,R2,0.0,0.0
learned,0,RELLIS-3D,0.0,00003_001631_03,0,0,0.10484296828508377,0.1406000852584839,0.0,12,R2,0.0,0.0
