comparison,dataset,delta_mean_rho,delta_path_length_ratio,delta_risk_exposure,delta_success,episode_id
learned_minus_zero,DFC2018,7.222891600794368e-09,-7.524615364129517e-08,1.3228559945233087e-06,0.0,0000
learned_minus_fixed,DFC2018,4.631168702001753e-09,-4.374019524355788e-08,8.792571728477583e-07,0.0,0000
learned_minus_zero,DFC2018,0.0005838189154212942,-1.6272356517799125e-08,0.16049447010066586,0.0,0007
learned_minus_fixed,DFC2018,-0.00018679147587616352,-1.7697310683573164e-07,-0.0513604708064328,0.0,0007
learned_minus_zero,DFC2018,-0.0014704907152315524,6.966729293123031e-06,-0.26025403858709417,0.0,0016
learned_minus_fixed,DFC2018,-4.259010600096702e-07,-9.050861104475949e-06,-0.00016077645706324972,0.0,0016
learned_minus_zero,DFC2018,-0.0005995485028253353,4.194907435750572e-06,-0.17120239016282568,0.0,0029
learned_minus_fixed,DFC2018,6.315565516043509e-07,8.670110031028244e-07,0.000189618129597946,0.0,0029
learned_minus_zero,DFC2018,-0.0013257013216841501,-7.058531650283584e-06,-0.3037793395700117,0.0,0030
learned_minus_fixed,DFC2018,1.2820363079479868e-07,-1.1983199535992028e-05,-0.00016881935795076686,0.0,0030
learned_minus_zero,DFC2018,-6.641324531639348e-07,4.684024937473552e-06,-6.115733275269264e-05,0.0,0036
learned_minus_fixed,DFC2018,9.639422417079269e-07,-2.8386503160393595e-05,-4.5754610885850866e-05,0.0,0036
learned_minus_zero,DFC2018,-0.00013609906708346442,4.981432578876621e-06,-0.038525032038416285,0.0,0046
learned_minus_fixed,DFC2018,7.216882514357939e-05,-1.475946191820121e-06,0.0204375267023984,0.0,0046
learned_minus_zero,DFC2018,-6.940144528191916e-05,1.445826748325274e-07,-0.017457386786591478,0.0,0051
learned_minus_fixed,DFC2018,-0.00015753197798524035,-1.3126731437052008e-05,-0.03973489144200304,0.0,0051
learned_minus_zero,DFC2018,-0.00011502022828508568,1.2260630870231104e-05,-0.0332851042633493,0.0,0064
learned_minus_fixed,DFC2018,1.5707603694611882e-06,-2.1212485511012957e-05,1.848031422468921e-05,0.0,0064
learned_minus_zero,DFC2018,-1.7659971545277986e-05,1.2678080525962976e-05,-0.0051543233955282375,0.0,0068
learned_minus_fixed,DFC2018,3.1645894080223336e-07,-2.3627517835911327e-05,-0.00026719180593381964,0.0,0068
learned_minus_zero,DFC2018,0.00015677249939693993,-6.132813266113146e-06,0.04875993564615477,0.0,0087
learned_minus_fixed,DFC2018,-2.1464342160965044e-05,-1.878040180591789e-06,-0.006707031798754315,0.0,0087
learned_minus_zero,DFC2018,-0.0002514805682423543,8.420646636864149e-06,-0.06720697081573235,0.0,0109
