corruption_probability,metric,estimate,ci_low,ci_high,bootstrap_unit,bootstrap_reps,map_source
0.0,CAR,0.7248908296943232,0.6896164009698997,0.7558988568393741,episode,2000,ground_truth
0.0,FAR,0.19649948521841448,0.17225750718574098,0.2206776453523062,episode,2000,ground_truth
0.0,SR,2.0201027998121925,1.715225598427086,2.4587639836649893,episode,2000,ground_truth
0.0,activation_rate,0.2788245631162745,0.2545828964213533,0.3014903615359884,episode,2000,ground_truth
0.0,noop_rate,0.7211754368837255,0.6985096384640116,0.7454171035786468,episode,2000,ground_truth
1.0,CAR,0.7008733624454149,0.6664806293413581,0.7344456594004459,episode,2000,predicted
1.0,FAR,0.20561847330489777,0.18131656074570782,0.22740392782826965,episode,2000,predicted
1.0,SR,1.891081267786273,1.6263657514934038,2.233268529418873,episode,2000,predicted
1.0,activation_rate,0.2923948062091184,0.2690258705253851,0.31480755720424275,episode,2000,predicted
1.0,noop_rate,0.7076051937908816,0.6851924427957572,0.7309741294746148,episode,2000,predicted
