regime,metric,n_pairs,gate_on_mean,gate_off_mean,difference_on_minus_off,ci95_low,ci95_high,bootstrap_unit,bootstrap_reps
R1,effective_soft_rate,55,0.0940527218490601,1.0,-0.9059472781509399,-0.9301979721681036,-0.8799989777468357,paired_episode,10000
R1,success,55,1.0,1.0,0.0,0.0,0.0,paired_episode,10000
R1,false_pre_activation_rate,55,0.06545454545454545,1.0,-0.9345454545454547,-0.9727272727272728,-0.8890909090909092,paired_episode,10000
R1,post_open_activation_rate,55,0.15687977392109312,1.0,-0.8431202260789069,-0.8828104717593908,-0.7986791178741723,paired_episode,10000
R1,cvar20_violation,55,2.3265761634270508,2.329966855912239,-0.0033906924851874916,-0.010174933606351457,1.8230520235170989e-06,paired_episode,10000
R1,hard_contacts,55,11.727272727272727,11.745454545454546,-0.01818181818181818,-0.05454545454545454,0.0,paired_episode,10000
R1,path_length_m,55,37.703603838384154,37.70181698846546,0.0017868499186905948,-5.4888975891199983e-05,0.005456443117423491,paired_episode,10000
R2,effective_soft_rate,24,0.060709730294599897,1.0,-0.9392902697054,-0.9631484068355154,-0.9126124662905554,paired_episode,10000
R2,success,24,1.0,1.0,0.0,0.0,0.0,paired_episode,10000
R2,false_pre_activation_rate,24,0.03333333333333333,1.0,-0.9666666666666668,-1.0,-0.9291666666666666,paired_episode,10000
R2,post_open_activation_rate,24,0.12712437803666712,1.0,-0.8728756219633329,-0.9256111031390247,-0.8137031362246064,paired_episode,10000
R2,cvar20_violation,24,2.338596729374322,2.3385959643508314,7.650234907323009e-07,-8.04636684378912e-08,1.543081291782479e-06,paired_episode,10000
R2,hard_contacts,24,11.916666666666666,11.916666666666666,0.0,0.0,0.0,paired_episode,10000
R2,path_length_m,24,37.126837123806276,37.12686864566058,-3.152185430129369e-05,-4.8545747995376586e-05,-1.4501507394015796e-05,paired_episode,10000
R3,effective_soft_rate,21,0.07644683698807879,1.0,-0.9235531630119214,-0.9614354983647828,-0.8788751225620232,paired_episode,10000
R3,success,21,1.0,1.0,0.0,0.0,0.0,paired_episode,10000
R3,false_pre_activation_rate,21,0.06190476190476189,1.0,-0.9380952380952381,-1.0,-0.861904761904762,paired_episode,10000
R3,post_open_activation_rate,21,0.14087203044934155,1.0,-0.8591279695506584,-0.9209243017055725,-0.7855240952208892,paired_episode,10000
R3,cvar20_violation,21,2.4337436855638503,2.4337430154281834,6.701356671272373e-07,-5.85655982108352e-07,2.031266914660966e-06,paired_episode,10000
R3,hard_contacts,21,14.857142857142858,14.857142857142858,0.0,0.0,0.0,paired_episode,10000
R3,path_length_m,21,42.39307536646014,42.39312453674419,-4.917028404417492e-05,-6.722200307108107e-05,-3.261635346072061e-05,paired_episode,10000
