epoch,learning_rate,train_loss,validation_loss,train_lambda_mean,validation_lambda_mean,train_effect_mean_m,validation_effect_mean_m
0,0.0019693332436601613,3.9827143646055654,4.087354767558015,1.1670145625548978,1.208630365569417,0.29175364063872444,0.30215759139235426
1,0.0018794228634059949,3.793690348825147,4.082809109092367,1.1514427282156483,1.2966835760488742,0.2878606820539121,0.32417089401221855
2,0.0017363961030678926,3.7199534793053903,4.010465237962152,1.1416993203663057,1.0292397112381169,0.28542483009157643,0.2573099278095292
3,0.00155,3.622552781335769,4.11924869023624,1.1021114914647994,1.49824832997671,0.27552787286619984,0.3745620824941775
4,0.0013329371405922687,3.508542779953249,4.032938507748685,1.1066123477874263,1.001486319594267,0.2766530869468566,0.25037157989856673
5,0.0010999999999999998,3.41454521494527,3.9528943736419557,1.088621946111802,1.1448428921583222,0.2721554865279505,0.28621072303958056
6,0.0008670628594077313,3.365456992580045,4.07290029491043,1.0936831606011237,1.298134670024965,0.2734207901502809,0.32453366750624124
7,0.0006500000000000002,3.3085125146373624,4.021657646302945,1.0891043337122086,1.161447261891714,0.27227608342805215,0.2903618154729285
8,0.0004636038969321073,3.2604823170169706,4.093856594257686,1.094523635122084,1.234155477547064,0.273630908780521,0.308538869386766
9,0.00032057713659400515,3.207969340585893,4.122804602973602,1.0888237943572383,1.1676410858224078,0.2722059485893096,0.29191027145560194
10,0.0002306667563398386,3.1548497176939443,4.047868884725154,1.0850196725899173,1.2135783492065058,0.2712549181474793,0.30339458730162644
11,0.0002,3.1281028543749163,4.075104118244892,1.0845533614197085,1.1561850265758793,0.2711383403549271,0.2890462566439698
