axis_rc,barrier_half_len_cells,barrier_half_width_cells,center_rc,detour_rc,duration,episode_id,event_step,event_type,goal_rc,hard_radius_cells,low_risk_value,open_delay,radius_cells,regime,risk_value,scene_id
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[33.0, 51.0]",80,0,25,mud_onset,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[33.0, 51.0]",80,0,25,corridor_closes,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[33.0, 51.0]",80,0,25,corridor_opens,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[41.0, 37.0]","[29.0, 64.0]",80,1,27,mud_onset,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[41.0, 37.0]","[29.0, 64.0]",80,1,27,corridor_closes,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[-0.7071067690849304, 0.7071067690849304]",9.0,2.0,"[41.0, 37.0]","[29.0, 64.0]",80,1,27,corridor_opens,"[26.0, 82.0]",4.0,0.18,10,8.0,R1,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[36.0, 41.0]",80,2,25,mud_onset,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[36.0, 41.0]",80,2,25,corridor_closes,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 41.0]","[36.0, 41.0]",80,2,25,corridor_opens,"[50.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 43.0]","[36.0, 43.0]",80,3,29,mud_onset,"[66.0, 90.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 43.0]","[36.0, 43.0]",80,3,29,corridor_closes,"[66.0, 90.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[48.0, 43.0]","[36.0, 43.0]",80,3,29,corridor_opens,"[66.0, 90.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 40.0]","[62.0, 40.0]",80,4,26,mud_onset,"[74.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 40.0]","[62.0, 40.0]",80,4,26,corridor_closes,"[74.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
"[0.0, 1.0]",9.0,2.0,"[74.0, 40.0]","[62.0, 40.0]",80,4,26,corridor_opens,"[74.0, 82.0]",4.0,0.18,10,8.0,R3,0.95,00000_000531
