Method,n_events,Success,Hard haz,Viol. CVaR,Stale exp,Replans,ms/step,Stuck
Stage 1,3,1.0,0.4351083333333334,0.7980101564253544,2.223875230980118,0.0,0.050297845555394294,0.0
Risk-loss-only,3,1.0,0.7687866666666667,0.8373168450943934,3.558215007423511,0.0,0.05080882407781261,0.0
Black-box CVaR,3,0.25,0.0,0.49682654090031003,0.6995668069221576,0.0,3.0178194140402415,0.75
Stage 2 expected cost,3,0.9500000000000001,0.04023666666666667,0.6754166696116349,1.7942754161701104,0.0,1.2319165822096914,0.08333333333333333
Constant-coeff Stage 2,3,0.39999999999999997,0.035355,0.49234041742641493,0.3730874040302882,0.0,1.8511264113514025,0.6
DWA semantic,3,0.8333333333333334,0.08249499999999999,0.6525845266936288,0.777896478818804,0.0,0.1816652079786926,0.3
CBF-QP,3,0.9,0.04023666666666667,0.6839218940696631,1.9694009269813695,0.0,0.062302341603261556,0.15
Local A*,3,1.0,0.0,0.6423090326856691,4.141794383471708,8.9,5.205036532690527,0.0
MPC,3,0.9666666666666667,0.016666666666666666,0.6238114869191532,2.2885261474677923,10.533333333333333,76.04505300927015,0.10000000000000002
Route-aware S2,3,0.9500000000000001,0.06523666666666667,0.6717926086406395,1.7184139920582375,0.0,1.6378440206079874,0.13333333333333333
Oracle replanner,3,1.0,0.0,0.6375696845699165,4.074522528731922,67.76666666666667,38.28918526009675,0.0
